Destination,Mood,Temperature (°C),Duration Range (days),Activities,Physicality (1–5),Family Friendly,Budget ($/day),Security (1–5)
"Tunis, Tunisia",Exotic,10–35,3–6,"Medina, Ruins, Beaches",2,Yes,70,4
"Tunis, Tunisia",Exotic,10–35,7–14,"Medina, Ruins, Beaches",3,Yes,71,5
"Tunis, Tunisia",Energetic,10–35,5–8,"Medina, Ruins, Beaches",2,Yes,58,4
"Tunis, Tunisia",Exotic,10–35,10–15,"Medina, Ruins, Beaches",4,Yes,58,5
"Tunis, Tunisia",Adventurous,10–35,3–5,"Medina, Ruins, Beaches",5,Yes,64,5
"Tunis, Tunisia",Exotic,10–35,4–7,"Medina, Ruins, Beaches",2,Yes,67,4
"Porto, Portugal",Romantic,10–30,3–5,"Wine, Coast, City Walks",1,Yes,80,5
"Porto, Portugal",Exotic,10–30,5–10,"Wine, Coast, City Walks",1,Yes,90,4
"Porto, Portugal",Vibrant,10–30,7–14,"Wine, Coast, City Walks",5,Yes,80,5
"Porto, Portugal",Vibrant,10–30,3–5,"Wine, Coast, City Walks",3,Yes,68,5
"Porto, Portugal",Exotic,10–30,3–5,"Wine, Coast, City Walks",5,Yes,74,3
"Porto, Portugal",Relaxed,10–30,4–7,"Wine, Coast, City Walks",3,Yes,92,5
"Jerusalem, Israel",Spiritual,10–30,3–6,"Holy Sites, History, Markets",2,Yes,120,4
"Jerusalem, Israel",Vibrant,10–30,3–5,"Holy Sites, History, Markets",2,Yes,127,3
"Jerusalem, Israel",Energetic,10–30,7–14,"Holy Sites, History, Markets",2,Yes,102,3
"Jerusalem, Israel",Vibrant,10–30,3–5,"Holy Sites, History, Markets",1,Yes,142,3
"Jerusalem, Israel",Exotic,10–30,4–7,"Holy Sites, History, Markets",5,Yes,123,5
"Jerusalem, Israel",Romantic,10–30,3–5,"Holy Sites, History, Markets",3,Yes,119,5
Tokyo Variant 537,Wild,20–35,7–14,"Museums, Cafes, Historic Sites",1,Yes,210,2
Tokyo Variant 537,Vibrant,20–35,7–14,"Museums, Cafes, Historic Sites",4,Yes,231,4
Tokyo Variant 537,Adventurous,20–35,10–15,"Museums, Cafes, Historic Sites",5,Yes,225,3
Tokyo Variant 537,Energetic,20–35,5–8,"Museums, Cafes, Historic Sites",4,Yes,175,5
Tokyo Variant 537,Energetic,20–35,7–14,"Museums, Cafes, Historic Sites",2,Yes,193,4
Tokyo Variant 537,Energetic,20–35,7–14,"Museums, Cafes, Historic Sites",3,Yes,194,5
Buenos Aires Variant 470,Coastal,25–40,3–7,"Spiritual Retreats, Yoga, Wellness",3,Yes,70,4
Buenos Aires Variant 470,Adventurous,25–40,4–7,"Spiritual Retreats, Yoga, Wellness",1,Yes,56,3
Buenos Aires Variant 470,Romantic,25–40,3–5,"Spiritual Retreats, Yoga, Wellness",1,Yes,60,5
Buenos Aires Variant 470,Energetic,25–40,5–8,"Spiritual Retreats, Yoga, Wellness",1,Yes,72,3
Buenos Aires Variant 470,Energetic,25–40,3–5,"Spiritual Retreats, Yoga, Wellness",1,Yes,63,4
Buenos Aires Variant 470,Vibrant,25–40,4–7,"Spiritual Retreats, Yoga, Wellness",4,Yes,84,3
Lima Variant 466,Sunny,20–35,5–10,"Beach, Snorkeling, Relaxation",2,Yes,310,3
Lima Variant 466,Relaxed,20–35,3–5,"Beach, Snorkeling, Relaxation",4,Yes,261,4
Lima Variant 466,Adventurous,20–35,7–14,"Beach, Snorkeling, Relaxation",1,Yes,266,3
Lima Variant 466,Relaxed,20–35,4–7,"Beach, Snorkeling, Relaxation",1,Yes,327,3
Lima Variant 466,Calm,20–35,7–14,"Beach, Snorkeling, Relaxation",2,Yes,362,4
Lima Variant 466,Relaxed,20–35,3–5,"Beach, Snorkeling, Relaxation",4,Yes,298,3
New York City Variant 596,Affordable,20–35,2–4,"Beach, Snorkeling, Relaxation",5,No,370,2
New York City Variant 596,Energetic,20–35,5–8,"Beach, Snorkeling, Relaxation",3,No,325,3
New York City Variant 596,Calm,20–35,7–14,"Beach, Snorkeling, Relaxation",2,No,318,5
New York City Variant 596,Calm,20–35,10–15,"Beach, Snorkeling, Relaxation",3,No,425,5
New York City Variant 596,Exotic,20–35,5–10,"Beach, Snorkeling, Relaxation",5,No,301,4
New York City Variant 596,Adventurous,20–35,7–14,"Beach, Snorkeling, Relaxation",2,No,373,4
Seoul Variant 789,Exotic,-10–5,2–4,"Beach, Snorkeling, Relaxation",4,No,420,2
Seoul Variant 789,Romantic,-10–5,4–7,"Beach, Snorkeling, Relaxation",2,No,394,3
Seoul Variant 789,Relaxed,-10–5,4–7,"Beach, Snorkeling, Relaxation",2,No,415,3
Seoul Variant 789,Vibrant,-10–5,5–8,"Beach, Snorkeling, Relaxation",1,No,494,5
Seoul Variant 789,Energetic,-10–5,3–5,"Beach, Snorkeling, Relaxation",1,No,379,3
Seoul Variant 789,Vibrant,-10–5,10–15,"Beach, Snorkeling, Relaxation",4,No,438,4
Dubrovnik Variant 49,Tranquil,25–40,2–4,"Hiking, Nature, Wildlife",3,No,150,4
Dubrovnik Variant 49,Vibrant,25–40,5–8,"Hiking, Nature, Wildlife",2,No,132,3
Dubrovnik Variant 49,Energetic,25–40,5–8,"Hiking, Nature, Wildlife",5,No,158,3
Dubrovnik Variant 49,Romantic,25–40,5–10,"Hiking, Nature, Wildlife",5,No,121,5
Dubrovnik Variant 49,Vibrant,25–40,3–5,"Hiking, Nature, Wildlife",4,No,167,5
Dubrovnik Variant 49,Romantic,25–40,7–14,"Hiking, Nature, Wildlife",2,No,164,5
Lisbon Variant 584,Cultural,10–25,2–4,"Beach, Snorkeling, Relaxation",5,No,500,4
Lisbon Variant 584,Vibrant,10–25,5–10,"Beach, Snorkeling, Relaxation",1,No,470,5
Lisbon Variant 584,Vibrant,10–25,5–10,"Beach, Snorkeling, Relaxation",3,No,580,4
Lisbon Variant 584,Romantic,10–25,3–5,"Beach, Snorkeling, Relaxation",3,No,417,4
Lisbon Variant 584,Exotic,10–25,3–5,"Beach, Snorkeling, Relaxation",3,No,567,4
Lisbon Variant 584,Relaxed,10–25,7–14,"Beach, Snorkeling, Relaxation",4,No,534,5
Dubai Variant 389,Luxury,0–15,7–14,"Skiing, Snowboarding, Hot Springs",4,Yes,250,4
Dubai Variant 389,Vibrant,0–15,5–8,"Skiing, Snowboarding, Hot Springs",4,Yes,290,5
Dubai Variant 389,Calm,0–15,4–7,"Skiing, Snowboarding, Hot Springs",1,Yes,268,3
Dubai Variant 389,Calm,0–15,5–8,"Skiing, Snowboarding, Hot Springs",1,Yes,297,5
Dubai Variant 389,Vibrant,0–15,5–8,"Skiing, Snowboarding, Hot Springs",4,Yes,270,4
Dubai Variant 389,Romantic,0–15,5–8,"Skiing, Snowboarding, Hot Springs",1,Yes,250,5
Colombo Variant 280,Affordable,20–35,3–7,"Hiking, Nature, Wildlife",2,Yes,190,4
Colombo Variant 280,Vibrant,20–35,3–5,"Hiking, Nature, Wildlife",1,Yes,169,4
Colombo Variant 280,Vibrant,20–35,3–5,"Hiking, Nature, Wildlife",4,Yes,157,5
Colombo Variant 280,Exotic,20–35,3–5,"Hiking, Nature, Wildlife",1,Yes,215,3
Colombo Variant 280,Adventurous,20–35,3–5,"Hiking, Nature, Wildlife",4,Yes,208,3
Colombo Variant 280,Energetic,20–35,5–10,"Hiking, Nature, Wildlife",2,Yes,167,3
Vienna Variant 635,Adventurous,0–15,3–7,"Spiritual Retreats, Yoga, Wellness",3,Yes,230,2
Vienna Variant 635,Exotic,0–15,7–14,"Spiritual Retreats, Yoga, Wellness",3,Yes,223,3
Vienna Variant 635,Calm,0–15,5–10,"Spiritual Retreats, Yoga, Wellness",1,Yes,195,4
Vienna Variant 635,Exotic,0–15,4–7,"Spiritual Retreats, Yoga, Wellness",4,Yes,246,4
Vienna Variant 635,Exotic,0–15,5–10,"Spiritual Retreats, Yoga, Wellness",1,Yes,229,3
Vienna Variant 635,Energetic,0–15,7–14,"Spiritual Retreats, Yoga, Wellness",4,Yes,264,5
Riga Variant 982,Tropical,0–15,5–10,"Adventure Sports, Trekking, Kayaking",2,No,180,5
Riga Variant 982,Energetic,0–15,5–8,"Adventure Sports, Trekking, Kayaking",2,No,214,4
Riga Variant 982,Vibrant,0–15,7–14,"Adventure Sports, Trekking, Kayaking",5,No,170,5
Riga Variant 982,Vibrant,0–15,4–7,"Adventure Sports, Trekking, Kayaking",2,No,166,4
Riga Variant 982,Exotic,0–15,4–7,"Adventure Sports, Trekking, Kayaking",2,No,146,4
Riga Variant 982,Romantic,0–15,5–10,"Adventure Sports, Trekking, Kayaking",1,No,201,3
Lofoten Islands Variant 236,Romantic,0–15,7–14,"Adventure Sports, Trekking, Kayaking",5,No,320,4
Lofoten Islands Variant 236,Relaxed,0–15,7–14,"Adventure Sports, Trekking, Kayaking",2,No,377,4
Lofoten Islands Variant 236,Vibrant,0–15,3–5,"Adventure Sports, Trekking, Kayaking",5,No,341,4
Lofoten Islands Variant 236,Relaxed,0–15,3–5,"Adventure Sports, Trekking, Kayaking",2,No,364,5
Lofoten Islands Variant 236,Vibrant,0–15,7–14,"Adventure Sports, Trekking, Kayaking",2,No,267,5
Lofoten Islands Variant 236,Exotic,0–15,4–7,"Adventure Sports, Trekking, Kayaking",2,No,360,4
New York City Variant 252,Quiet,20–35,5–10,"Museums, Cafes, Historic Sites",4,No,60,5
New York City Variant 252,Energetic,20–35,5–8,"Museums, Cafes, Historic Sites",4,No,54,5
New York City Variant 252,Adventurous,20–35,7–14,"Museums, Cafes, Historic Sites",5,No,68,3
New York City Variant 252,Vibrant,20–35,4–7,"Museums, Cafes, Historic Sites",5,No,67,5
New York City Variant 252,Adventurous,20–35,10–15,"Museums, Cafes, Historic Sites",5,No,60,5
New York City Variant 252,Exotic,20–35,4–7,"Museums, Cafes, Historic Sites",5,No,61,3
Lofoten Islands Variant 849,Tranquil,0–15,7–14,"Museums, Cafes, Historic Sites",3,No,340,3
Lofoten Islands Variant 849,Calm,0–15,5–10,"Museums, Cafes, Historic Sites",3,No,400,4
Lofoten Islands Variant 849,Exotic,0–15,7–14,"Museums, Cafes, Historic Sites",3,No,395,3
Lofoten Islands Variant 849,Relaxed,0–15,5–10,"Museums, Cafes, Historic Sites",3,No,319,5
Lofoten Islands Variant 849,Relaxed,0–15,4–7,"Museums, Cafes, Historic Sites",5,No,325,5
Lofoten Islands Variant 849,Calm,0–15,5–8,"Museums, Cafes, Historic Sites",4,No,350,5
Helsinki Variant 45,Sunny,20–35,3–7,"Spiritual Retreats, Yoga, Wellness",1,No,150,3
Helsinki Variant 45,Vibrant,20–35,5–10,"Spiritual Retreats, Yoga, Wellness",3,No,169,3
Helsinki Variant 45,Vibrant,20–35,5–10,"Spiritual Retreats, Yoga, Wellness",3,No,162,5
Helsinki Variant 45,Adventurous,20–35,5–10,"Spiritual Retreats, Yoga, Wellness",2,No,146,5
Helsinki Variant 45,Exotic,20–35,10–15,"Spiritual Retreats, Yoga, Wellness",2,No,126,4
Helsinki Variant 45,Romantic,20–35,5–10,"Spiritual Retreats, Yoga, Wellness",4,No,126,5
Buenos Aires Variant 837,Elegant,-10–5,3–7,"Hiking, Nature, Wildlife",5,Yes,150,5
Buenos Aires Variant 837,Romantic,-10–5,4–7,"Hiking, Nature, Wildlife",2,Yes,150,3
Buenos Aires Variant 837,Calm,-10–5,3–5,"Hiking, Nature, Wildlife",3,Yes,176,4
Buenos Aires Variant 837,Exotic,-10–5,4–7,"Hiking, Nature, Wildlife",1,Yes,141,4
Buenos Aires Variant 837,Energetic,-10–5,10–15,"Hiking, Nature, Wildlife",3,Yes,133,4
Buenos Aires Variant 837,Energetic,-10–5,4–7,"Hiking, Nature, Wildlife",5,Yes,134,5
Barcelona Variant 484,Wild,20–35,3–7,"Spiritual Retreats, Yoga, Wellness",3,No,340,2
Barcelona Variant 484,Calm,20–35,5–8,"Spiritual Retreats, Yoga, Wellness",2,No,279,3
Barcelona Variant 484,Relaxed,20–35,5–10,"Spiritual Retreats, Yoga, Wellness",3,No,346,3
Barcelona Variant 484,Adventurous,20–35,5–10,"Spiritual Retreats, Yoga, Wellness",5,No,317,3
Barcelona Variant 484,Romantic,20–35,5–10,"Spiritual Retreats, Yoga, Wellness",4,No,346,5
Barcelona Variant 484,Vibrant,20–35,10–15,"Spiritual Retreats, Yoga, Wellness",1,No,315,3
Queenstown Variant 318,Affordable,10–25,2–4,"Skiing, Snowboarding, Hot Springs",2,No,430,5
Queenstown Variant 318,Calm,10–25,10–15,"Skiing, Snowboarding, Hot Springs",5,No,411,4
Queenstown Variant 318,Exotic,10–25,4–7,"Skiing, Snowboarding, Hot Springs",4,No,418,5
Queenstown Variant 318,Vibrant,10–25,7–14,"Skiing, Snowboarding, Hot Springs",3,No,455,4
Queenstown Variant 318,Exotic,10–25,4–7,"Skiing, Snowboarding, Hot Springs",3,No,457,5
Queenstown Variant 318,Relaxed,10–25,5–10,"Skiing, Snowboarding, Hot Springs",1,No,458,3
Hanoi Variant 482,Wellness,-10–5,7–14,"Museums, Cafes, Historic Sites",3,No,110,2
Hanoi Variant 482,Vibrant,-10–5,5–8,"Museums, Cafes, Historic Sites",1,No,100,5
Hanoi Variant 482,Adventurous,-10–5,3–5,"Museums, Cafes, Historic Sites",3,No,108,3
Hanoi Variant 482,Relaxed,-10–5,5–10,"Museums, Cafes, Historic Sites",4,No,122,5
Hanoi Variant 482,Calm,-10–5,10–15,"Museums, Cafes, Historic Sites",4,No,112,4
Hanoi Variant 482,Adventurous,-10–5,5–10,"Museums, Cafes, Historic Sites",2,No,99,3
Sofia Variant 163,Vibrant,20–35,3–7,"Adventure Sports, Trekking, Kayaking",5,Yes,210,5
Sofia Variant 163,Exotic,20–35,3–5,"Adventure Sports, Trekking, Kayaking",3,Yes,186,5
Sofia Variant 163,Vibrant,20–35,3–5,"Adventure Sports, Trekking, Kayaking",3,Yes,183,4
Sofia Variant 163,Romantic,20–35,3–5,"Adventure Sports, Trekking, Kayaking",5,Yes,238,5
Sofia Variant 163,Exotic,20–35,10–15,"Adventure Sports, Trekking, Kayaking",3,Yes,235,3
Sofia Variant 163,Calm,20–35,5–10,"Adventure Sports, Trekking, Kayaking",1,Yes,186,3
Queenstown Variant 807,Luxury,10–25,2–4,"Beach, Snorkeling, Relaxation",2,No,460,4
Queenstown Variant 807,Relaxed,10–25,5–8,"Beach, Snorkeling, Relaxation",2,No,462,4
Queenstown Variant 807,Adventurous,10–25,10–15,"Beach, Snorkeling, Relaxation",1,No,506,3
Queenstown Variant 807,Vibrant,10–25,5–8,"Beach, Snorkeling, Relaxation",3,No,496,5
Queenstown Variant 807,Exotic,10–25,5–8,"Beach, Snorkeling, Relaxation",1,No,422,5
Queenstown Variant 807,Energetic,10–25,7–14,"Beach, Snorkeling, Relaxation",5,No,501,5
Paris Variant 710,Mysterious,-10–5,3–7,"Spiritual Retreats, Yoga, Wellness",3,No,40,4
Paris Variant 710,Vibrant,-10–5,5–8,"Spiritual Retreats, Yoga, Wellness",1,No,41,4
Paris Variant 710,Adventurous,-10–5,5–8,"Spiritual Retreats, Yoga, Wellness",3,No,40,3
Paris Variant 710,Adventurous,-10–5,4–7,"Spiritual Retreats, Yoga, Wellness",3,No,44,3
Paris Variant 710,Energetic,-10–5,7–14,"Spiritual Retreats, Yoga, Wellness",5,No,34,5
Paris Variant 710,Vibrant,-10–5,4–7,"Spiritual Retreats, Yoga, Wellness",3,No,36,4
Amalfi Coast Variant 580,Historic,-10–5,3–7,"Spiritual Retreats, Yoga, Wellness",4,No,220,5
Amalfi Coast Variant 580,Energetic,-10–5,3–5,"Spiritual Retreats, Yoga, Wellness",4,No,205,4
Amalfi Coast Variant 580,Calm,-10–5,7–14,"Spiritual Retreats, Yoga, Wellness",1,No,197,4
Amalfi Coast Variant 580,Energetic,-10–5,7–14,"Spiritual Retreats, Yoga, Wellness",3,No,185,4
Amalfi Coast Variant 580,Vibrant,-10–5,5–8,"Spiritual Retreats, Yoga, Wellness",2,No,259,4
Amalfi Coast Variant 580,Romantic,-10–5,4–7,"Spiritual Retreats, Yoga, Wellness",5,No,177,4
Marrakech Variant 383,Coastal,-10–5,10–20,"Spiritual Retreats, Yoga, Wellness",3,No,30,4
Marrakech Variant 383,Adventurous,-10–5,3–5,"Spiritual Retreats, Yoga, Wellness",5,No,24,3
Marrakech Variant 383,Exotic,-10–5,3–5,"Spiritual Retreats, Yoga, Wellness",3,No,26,3
Marrakech Variant 383,Vibrant,-10–5,5–10,"Spiritual Retreats, Yoga, Wellness",3,No,35,3
Marrakech Variant 383,Relaxed,-10–5,3–5,"Spiritual Retreats, Yoga, Wellness",1,No,29,5
Marrakech Variant 383,Energetic,-10–5,4–7,"Spiritual Retreats, Yoga, Wellness",5,No,28,4
Queenstown Variant 971,Tropical,-10–5,2–4,"Museums, Cafes, Historic Sites",2,Yes,180,2
Queenstown Variant 971,Calm,-10–5,3–5,"Museums, Cafes, Historic Sites",1,Yes,208,3
Queenstown Variant 971,Romantic,-10–5,5–8,"Museums, Cafes, Historic Sites",5,Yes,200,3
Queenstown Variant 971,Exotic,-10–5,4–7,"Museums, Cafes, Historic Sites",2,Yes,161,4
Queenstown Variant 971,Calm,-10–5,4–7,"Museums, Cafes, Historic Sites",4,Yes,157,5
Queenstown Variant 971,Adventurous,-10–5,4–7,"Museums, Cafes, Historic Sites",1,Yes,145,4
Sydney Variant 957,Energetic,-10–5,3–7,"Beach, Snorkeling, Relaxation",2,No,430,3
Sydney Variant 957,Vibrant,-10–5,3–5,"Beach, Snorkeling, Relaxation",4,No,475,4
Sydney Variant 957,Exotic,-10–5,5–8,"Beach, Snorkeling, Relaxation",3,No,511,4
Sydney Variant 957,Calm,-10–5,5–8,"Beach, Snorkeling, Relaxation",4,No,419,5
Sydney Variant 957,Adventurous,-10–5,5–10,"Beach, Snorkeling, Relaxation",3,No,514,5
Sydney Variant 957,Relaxed,-10–5,3–5,"Beach, Snorkeling, Relaxation",5,No,380,3
Auckland Variant 74,Spiritual,10–25,7–14,"Skiing, Snowboarding, Hot Springs",1,Yes,220,2
Auckland Variant 74,Relaxed,10–25,10–15,"Skiing, Snowboarding, Hot Springs",5,Yes,236,5
Auckland Variant 74,Relaxed,10–25,4–7,"Skiing, Snowboarding, Hot Springs",4,Yes,238,4
Auckland Variant 74,Romantic,10–25,5–10,"Skiing, Snowboarding, Hot Springs",2,Yes,221,3
Auckland Variant 74,Adventurous,10–25,10–15,"Skiing, Snowboarding, Hot Springs",2,Yes,203,3
Auckland Variant 74,Vibrant,10–25,7–14,"Skiing, Snowboarding, Hot Springs",4,Yes,225,3
Hanoi Variant 549,Calm,-10–5,5–10,"Museums, Cafes, Historic Sites",5,Yes,60,2
Hanoi Variant 549,Adventurous,-10–5,5–8,"Museums, Cafes, Historic Sites",4,Yes,52,5
Hanoi Variant 549,Romantic,-10–5,10–15,"Museums, Cafes, Historic Sites",5,Yes,64,3
Hanoi Variant 549,Romantic,-10–5,7–14,"Museums, Cafes, Historic Sites",2,Yes,71,4
Hanoi Variant 549,Romantic,-10–5,5–10,"Museums, Cafes, Historic Sites",4,Yes,51,4
Hanoi Variant 549,Adventurous,-10–5,7–14,"Museums, Cafes, Historic Sites",1,Yes,51,5
Cairo Variant 552,Wild,0–15,7–14,"Hiking, Nature, Wildlife",1,Yes,330,5
Cairo Variant 552,Romantic,0–15,3–5,"Hiking, Nature, Wildlife",2,Yes,326,3
Cairo Variant 552,Exotic,0–15,5–10,"Hiking, Nature, Wildlife",4,Yes,376,3
Cairo Variant 552,Romantic,0–15,3–5,"Hiking, Nature, Wildlife",5,Yes,278,4
Cairo Variant 552,Exotic,0–15,7–14,"Hiking, Nature, Wildlife",5,Yes,314,4
Cairo Variant 552,Energetic,0–15,5–8,"Hiking, Nature, Wildlife",5,Yes,335,4
Prague Variant 565,Modern,25–40,7–14,"Hiking, Nature, Wildlife",4,No,380,3
Prague Variant 565,Adventurous,25–40,5–10,"Hiking, Nature, Wildlife",1,No,376,5
Prague Variant 565,Adventurous,25–40,4–7,"Hiking, Nature, Wildlife",4,No,391,3
Prague Variant 565,Romantic,25–40,3–5,"Hiking, Nature, Wildlife",2,No,345,4
Prague Variant 565,Calm,25–40,4–7,"Hiking, Nature, Wildlife",4,No,330,4
Prague Variant 565,Romantic,25–40,10–15,"Hiking, Nature, Wildlife",3,No,329,5
Marrakech Variant 7,Luxury,10–25,2–4,"Skiing, Snowboarding, Hot Springs",4,No,230,3
Marrakech Variant 7,Adventurous,10–25,5–8,"Skiing, Snowboarding, Hot Springs",3,No,212,5
Marrakech Variant 7,Exotic,10–25,5–10,"Skiing, Snowboarding, Hot Springs",2,No,251,3
Marrakech Variant 7,Energetic,10–25,10–15,"Skiing, Snowboarding, Hot Springs",5,No,273,5
Marrakech Variant 7,Romantic,10–25,10–15,"Skiing, Snowboarding, Hot Springs",1,No,275,3
Marrakech Variant 7,Exotic,10–25,7–14,"Skiing, Snowboarding, Hot Springs",2,No,186,3
Montreal Variant 974,Lively,0–15,5–10,"Beach, Snorkeling, Relaxation",5,No,160,5
Montreal Variant 974,Exotic,0–15,5–10,"Beach, Snorkeling, Relaxation",4,No,148,3
Montreal Variant 974,Energetic,0–15,4–7,"Beach, Snorkeling, Relaxation",2,No,152,4
Montreal Variant 974,Adventurous,0–15,3–5,"Beach, Snorkeling, Relaxation",3,No,181,4
Montreal Variant 974,Energetic,0–15,7–14,"Beach, Snorkeling, Relaxation",3,No,166,3
Montreal Variant 974,Exotic,0–15,5–8,"Beach, Snorkeling, Relaxation",3,No,188,4
Tallinn Variant 466,Affordable,25–40,3–7,"Adventure Sports, Trekking, Kayaking",5,No,490,4
Tallinn Variant 466,Relaxed,25–40,7–14,"Adventure Sports, Trekking, Kayaking",4,No,403,3
Tallinn Variant 466,Vibrant,25–40,5–8,"Adventure Sports, Trekking, Kayaking",5,No,548,5
Tallinn Variant 466,Romantic,25–40,7–14,"Adventure Sports, Trekking, Kayaking",3,No,538,5
Tallinn Variant 466,Romantic,25–40,7–14,"Adventure Sports, Trekking, Kayaking",1,No,424,4
Tallinn Variant 466,Exotic,25–40,5–8,"Adventure Sports, Trekking, Kayaking",1,No,419,5
Zanzibar Variant 122,Adventurous,20–35,3–7,"Beach, Snorkeling, Relaxation",4,Yes,130,3
Zanzibar Variant 122,Romantic,20–35,3–5,"Beach, Snorkeling, Relaxation",2,Yes,133,3
Zanzibar Variant 122,Adventurous,20–35,3–5,"Beach, Snorkeling, Relaxation",1,Yes,152,5
Zanzibar Variant 122,Energetic,20–35,4–7,"Beach, Snorkeling, Relaxation",5,Yes,111,5
Zanzibar Variant 122,Energetic,20–35,3–5,"Beach, Snorkeling, Relaxation",5,Yes,113,3
Zanzibar Variant 122,Energetic,20–35,10–15,"Beach, Snorkeling, Relaxation",1,Yes,150,3
Tallinn Variant 772,Calm,-10–5,5–10,"Adventure Sports, Trekking, Kayaking",1,Yes,40,3
Tallinn Variant 772,Vibrant,-10–5,7–14,"Adventure Sports, Trekking, Kayaking",4,Yes,46,3
Tallinn Variant 772,Calm,-10–5,4–7,"Adventure Sports, Trekking, Kayaking",1,Yes,46,3
Tallinn Variant 772,Romantic,-10–5,3–5,"Adventure Sports, Trekking, Kayaking",4,Yes,43,5
Tallinn Variant 772,Calm,-10–5,5–10,"Adventure Sports, Trekking, Kayaking",1,Yes,37,3
Tallinn Variant 772,Vibrant,-10–5,4–7,"Adventure Sports, Trekking, Kayaking",2,Yes,35,3
Queenstown Variant 300,Elegant,25–40,2–4,"Museums, Cafes, Historic Sites",1,Yes,130,5
Queenstown Variant 300,Relaxed,25–40,5–10,"Museums, Cafes, Historic Sites",2,Yes,118,4
Queenstown Variant 300,Exotic,25–40,10–15,"Museums, Cafes, Historic Sites",2,Yes,104,3
Queenstown Variant 300,Vibrant,25–40,4–7,"Museums, Cafes, Historic Sites",2,Yes,125,4
Queenstown Variant 300,Energetic,25–40,5–8,"Museums, Cafes, Historic Sites",4,Yes,132,5
Queenstown Variant 300,Calm,25–40,10–15,"Museums, Cafes, Historic Sites",1,Yes,156,4
Kyoto Variant 350,Vibrant,25–40,3–7,"Beach, Snorkeling, Relaxation",5,Yes,140,5
Kyoto Variant 350,Relaxed,25–40,7–14,"Beach, Snorkeling, Relaxation",2,Yes,146,3
Kyoto Variant 350,Adventurous,25–40,4–7,"Beach, Snorkeling, Relaxation",1,Yes,160,5
Kyoto Variant 350,Vibrant,25–40,4–7,"Beach, Snorkeling, Relaxation",1,Yes,125,3
Kyoto Variant 350,Relaxed,25–40,10–15,"Beach, Snorkeling, Relaxation",5,Yes,136,3
Kyoto Variant 350,Calm,25–40,5–10,"Beach, Snorkeling, Relaxation",4,Yes,150,5
Seoul Variant 318,Wellness,-10–5,7–14,"Hiking, Nature, Wildlife",2,No,350,2
Seoul Variant 318,Energetic,-10–5,4–7,"Hiking, Nature, Wildlife",3,No,327,4
Seoul Variant 318,Adventurous,-10–5,3–5,"Hiking, Nature, Wildlife",2,No,353,3
Seoul Variant 318,Exotic,-10–5,5–8,"Hiking, Nature, Wildlife",1,No,334,3
Seoul Variant 318,Romantic,-10–5,7–14,"Hiking, Nature, Wildlife",1,No,358,3
Seoul Variant 318,Vibrant,-10–5,10–15,"Hiking, Nature, Wildlife",3,No,383,5
Queenstown Variant 929,Tropical,0–15,2–4,"Museums, Cafes, Historic Sites",3,Yes,380,3
Queenstown Variant 929,Romantic,0–15,4–7,"Museums, Cafes, Historic Sites",4,Yes,437,4
Queenstown Variant 929,Exotic,0–15,4–7,"Museums, Cafes, Historic Sites",4,Yes,378,4
Queenstown Variant 929,Exotic,0–15,3–5,"Museums, Cafes, Historic Sites",2,Yes,316,3
